State,Constituency No,Constituency,Candidate,Party,Website
Madhya Pradesh,14,Mandla (ST) ,Shri Faggan Singh Kulaste,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=207
Madhya Pradesh,15,Balaghat ,Shri K.D. Deshmukh,BJP,
Madhya Pradesh,17,Hoshangabad ,Shri Rampal Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4216
Madhya Pradesh,18,Vidisha ,Smt. Sushma Swaraj,BJP,http://164.100.47.5:8080/members/website/Biodata.asp?no=94
Madhya Pradesh,19,Bhopal ,Shri Kailash Joshi,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3989
Madhya Pradesh,20,Rajgarh ,Shri Lakshman Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=448
Madhya Pradesh,21,Dewas (SC) ,Shri Thawar Chand Gehlot,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=137
Madhya Pradesh,22,Ujjain (SC) ,Shri Satyanarayan Jatiya,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=160
Madhya Pradesh,23,Mandsour ,Dr. Laxminarayan Pandey,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=286
Madhya Pradesh,25,Dhar (ST) ,Shri Mukam Singh Kirade,BJP,
Madhya Pradesh,26,Indore ,Smt. Sumitra Mahajan,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=220
Madhya Pradesh,28,Khandwa ,Shri Nand Kumar Singh Chouhan,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=82
Madhya Pradesh,24,Ratlam (ST) ,Shri Dilip Singh Bhuria,BJP,
Madhya Pradesh,27,Khargon (ST) ,Shri Makhan Singh,BJP,
Madhya Pradesh,29,Betul (ST) ,Smt. Jyoti Dhurve ,BJP,
Maharashtra,1,Nandurbar (ST) ,Dr. Suhas Natawadkar,BJP,
Maharashtra,2,Dhule ,Shri Prataprao Sonawane,BJP,
Maharashtra,3,Jalgaon ,Shri A.T. Patil,BJP,
Maharashtra,4,Raver ,Shri Haribhau Jawle,BJP,
Maharashtra,6,Akola ,Shri Sanjay Dhotre,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3992
Maharashtra,8,Wardha,Shri Suresh Waghmare,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3994
Maharashtra,10,Nagpur ,Shri Banwarilal Purohit,BJP,
Maharashtra,11,Bhandara—Gondiya,Shri Shishupal Patle,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3993
Maharashtra,12,Gadchiroli-Chimur (ST) ,Shri Ashok Nete,BJP,
Maharashtra,13,Chandrapur,Shri Hansraj Ahir,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3640
Maharashtra,16,Nanded,Shri Sambhaji Rao Pawar,BJP,
Maharashtra,18,Jalna ,Shri Rao Saheb Danve Patil,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=316
Maharashtra,20,Dindori (ST) ,Shri Harishchandra Chawan,BJP,
Maharashtra,22,Palghar (ST) ,Shri Chintaman Wanga,BJP,
Maharashtra,26,Mumbai North ,Shri Ram Naik,BJP,http://www.ramnaik.com/ramnaik_profile.html
Maharashtra,34,Pune,Shri Anil Shirole,BJP,
Maharashtra,37,Ahmednagar,Shri Dilip Gandhi,BJP,
Maharashtra,39,Beed ,Shri Gopinath Munde,BJP,
Maharashtra,42,Solapur (SC) ,Shri Sharad Bansode,BJP,
Maharashtra,43,Madha ,Shri Subhash Deshmukh ,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3998
Manipur,1,Inner Manipur ,Shri W. Nipamacha Singh,BJP,
Manipur,2,Outer Manipur (ST),Shri D. Loli Adanee,BJP,
Orissa,2,Sundargarh (ST) ,Shri Jual Oram,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=279
Orissa,4,Keonjhar (ST) ,Shri Ananta Nayak,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=275
Orissa,5,Mayurbhanj (ST) ,Smt. Draupadi Murmu,BJP,
Orissa,6,Balasore ,Shri M.A. Kharavel Swain,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=478
Orissa,10,Bolangir ,Smt. Sangeeta Singhdeo,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=426
