State,Constituency No,Constituency,Candidate,Party,Website,Caste,Sex,Education
Maharashtra,1,Nandurbar  ,Suhas Natawadkar,BJP,,ST,Male,Graduate
Maharashtra,2,Dhule ,Prataprao Sonawane,BJP,,,Male,
Maharashtra,3,Jalgaon ,A.T. Patil,BJP,,,Male,
Maharashtra,4,Raver ,Haribhau Jawle,BJP,,,Male,
Maharashtra,6,Akola ,Sanjay Dhotre,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3992,,Male,
Maharashtra,8,Wardha,Suresh Waghmare,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3994,,Male,
Maharashtra,10,Nagpur ,Banwarilal Purohit,BJP,,,Male,
Maharashtra,11,Bhandara—Gondiya,Shishupal Patle,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3993,,Male,
Maharashtra,12,Gadchiroli-Chimur  ,Ashok Nete,BJP,,ST,Male,
Maharashtra,13,Chandrapur,Hansraj Ahir,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3640,,Male,
Maharashtra,16,Nanded,Sambhaji Rao Pawar,BJP,,,Male,
Maharashtra,18,Jalna ,Rao Saheb Danve Patil,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=316,,Male,
Maharashtra,20,Dindori  ,Harishchandra Chawan,BJP,,ST,Male,
Maharashtra,22,Palghar  ,Chintaman Wanga,BJP,,ST,Male,
Maharashtra,26,Mumbai North ,Ram Naik,BJP,http://www.ramnaik.com/ramnaik_profile.html,,Male,
Maharashtra,34,Pune,Anil Shirole,BJP,,,Male,
Maharashtra,37,Ahmednagar,Dilip Gandhi,BJP,,,Male,
Maharashtra,39,Beed ,Gopinath Munde,BJP,,,Male,
Maharashtra,42,Solapur  ,Sharad Bansode,BJP,,SC,Male,
Maharashtra,43,Madha ,Subhash Deshmukh ,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3998,,Male,
Manipur,1,Inner Manipur ,W. Nipamacha Singh,BJP,,,Male,
Manipur,2,Outer Manipur ,D. Loli Adanee,BJP,,ST,Male,
Orissa,2,Sundargarh  ,Jual Oram,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=279,ST,Male,
Orissa,4,Keonjhar  ,Ananta Nayak,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=275,ST,Male,
Orissa,5,Mayurbhanj  ,Draupadi Murmu,BJP,,ST,Female,
Orissa,6,Balasore ,M.A. Kharavel Swain,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=478,,Male,
Orissa,10,Bolangir ,Sangeeta Singhdeo,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=426,,Female,
Orissa,11,Kalahandi ,Bikram Keshari Deo,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=108,,Male,
Orissa,12,Nabarangpur  ,Parsuram Majhi,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=227,ST,Male,
Orissa,13,Kandhmal ,Ashok Sahu,BJP,,,Male,
Orissa,12,Nabarangpur  ,Parsuram Majhi,BJP,,ST,Male,
Orissa,21,Koraput  ,Upendra Majhi ,BJP,,ST,Male,
Punjab,1,Gurdaspur ,Vinod Khanna,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=197,,Male,
Punjab,2,Amritsar ,Navjot Singh Siddhu,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4000,,Male,
Punjab,5,Hoshiarpur  ,Som Prakash ,BJP,,SC,Male,
Rajasthan,1,Sriganganagar/ Hanumangarh  ,Nihal Chand,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=95,SC,Male,
Rajasthan,2,Bikaner  ,Arjun Meghwal,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=568,SC,Male,
